,Komentar
86,"Ide pembuatan marketplace guru dicetuskan oleh Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi Nadiem Makarim pada rapat kerja dengan Komisi X DPR, 24 Mei 2023.

Menyoal “Marketplace” Guru
Opini 5 Juni 2023

https://t.co/ghV6aPLfKe https://t.co/7o4IGUe9JS"
87,"LaNyalla Dukung Gagasan Menteri Nadiem, Asal Penuhi 3 Syarat.

LaNyalla Mahmud Mattalitti mendukung gagasan Menteri Nadiem Makarim tentang marketplace guru. Tetapi, dia menetapkan tiga… #PendidikanKesehatan #LanyallaMahmudMattalitti via @beritajatimcom https://t.co/IxzNTceYHk"
88,"""Marketplace untuk talent guru, di mana akan ada suatu tempat di mana semua guru-guru yang boleh mengajar masuk ke dalam sebuah data base yang bisa diakses oleh semua sekolah yang ada di Indonesia,"" terang Nadiem.(*)

#lanyalla #nadiem lanyalla #guru"
89,"Nadiem menyampaikan bahwa pihaknya telah berdiskusi dengan Kemenkeu, Kemendagri dan Kemenpan-RB dalam membuat solusi atas permasalahan mengenai guru. Salah satu solusinya adalah dengan pembuatan marketplace untuk guru.
#lanyalla #nadiem lanyalla #guru"
90,"Marketplace guru sendiri merupakan database bagi semua sekolah untuk dapat mencari siapa saja orang yang bisa menjadi pendidik atau diundang ke sekolah tersebut.
#lanyalla #nadiem lanyalla #guru"
91,"Untuk diketahui, Menteri Nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahun-tahun. #lanyalla #nadiem lanyalla #guru"
92,"""Tidak perlu menggunakan kalimat seolah-olah gagasan ini seperti marketplace jual beli barang. Guru ini manusia terhormat, jangan disamakan dengan barang atau jasa. #lanyalla #nadiem lanyalla #guru"
93,"Syarat terakhir, LaNyalla meminta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated.#lanyalla #nadiem lanyalla #guru"
94,"Ketua DPD RI Dukung Gagasan Menteri Nadiem, Asal Lakukan Tiga Hal Ini

JAKARTA - Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. #lanyalla #nadiem lanyalla #guru https://t.co/hSzYhZFfva https://t.co/jlHZMg74rD"
95,"Ketua DPD RI Dukung Gagasan Menteri Nadiem, Asal Lakukan Tiga Hal Ini

JAKARTA - Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. Para anggota DPR menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di Indonesia.

Selain itu, gagasan ini juga dianggap merendahkan profesi guru sebagai tenaga pendidik, yang disamakan dengan barang yang dapat diperjualbelikan.

Tanggapan berbeda justru disampaikan Ketua DPD RI, AA LaNyalla Mahmud Mattalitti. Senator asal Jawa Timur itu mendukung gagasan yang dicetuskan oleh Menteri Nadiem. Hanya saja, ada tiga syarat utama yang harus dijadikan pedoman jika ingin gagasan tersebut direalisasikan. 

“Muara dari tiga syarat itu adalah untuk memastikan bahwa program tersebut mampu menjawab percepatan rekrutmen para guru honorer yang sudah lulus passing grade, tapi belum diusulkan dan belum diangkat menjadi P3K (Pegawai Pemerintah dengan Perjanjian Kerja),” ungkap LaNyalla, Senin (5/6/2023).

Ketiga syarat tersebut, lanjut LaNyalla, yang pertama, platform yang direncanakan itu harus benar-benar diisi oleh mereka yang lulus  passing grade atau nilai acuan dengan standar tertentu. 

""Di sisi lain, mereka juga harus yang benar-benar belum diusulkan dan belum direkrut. Jadi benar-benar tepat sasaran, karena banyak sekali guru yang belum bernasib baik. Harus dengan syarat itu,” tandasnya. 

Syarat kedua, tokoh asal Bugis yang besar di Surabaya itu melanjutkan, platform itu harus dieksekusi sebagai platform non profit. Dengan kata lain, LaNyalla tak ingin platform ini terdapat muatan bisnis. 

""Platform ini tak boleh ada unsur komersil. Tidak boleh ada platform fee yang dibebankan kepada user. Harus bisa diakses secara cuma-cuma alias gratis, karena memang niatnya harus sebagai solusi kementerian,"" jelas LaNyalla. 

Syarat terakhir, LaNyalla meminta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated. 

""Tidak perlu menggunakan kalimat seolah-olah gagasan ini seperti marketplace jual beli barang. Guru ini manusia terhormat, jangan disamakan dengan barang atau jasa. Cari platform yang namanya lebih elegan. Sebagai misal 'Guruku', 'Database Guru' atau 'Living Database Guru', agar tidak sama seperti platform jual beli barang,"" tegas LaNyalla. 

Untuk diketahui, Menteri Nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahun-tahun. Marketplace guru sendiri merupakan database bagi semua sekolah untuk dapat mencari siapa saja orang yang bisa menjadi pendidik atau diundang ke sekolah tersebut.

Nadiem menyampaikan bahwa pihaknya telah berdiskusi dengan Kemenkeu, Kemendagri dan Kemenpan-RB dalam membuat solusi atas permasalahan mengenai guru. Salah satu solusinya adalah dengan pembuatan marketplace untuk guru.

""Marketplace untuk talent guru, di mana akan ada suatu tempat di mana semua guru-guru yang boleh mengajar masuk ke dalam sebuah data base yang bisa diakses oleh semua sekolah yang ada di Indonesia,"" terang Nadiem.(*)
@LaNyallaMM1 #lanyalla #guruhonorer #nadhiem
#aspirasi  #dpdri"
