,user,date,renderedContent
188,corazonltmymken,2023-05-28 01:27:52+00:00,Nah nadiem lu benerin goto sono. Gausah sok sok an bahasain gueu marketplace perekkrutana blablabla dikata guru mitra gojek
189,MediaKomando,2023-05-27 23:58:47+00:00,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan
https://t.co/ODxqCKHOWr"
190,OposisiCerdas,2023-05-27 11:54:27+00:00,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan https://t.co/JpYKpJ2558"
191,RepelitaO,2023-05-27 07:48:22+00:00,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan https://t.co/NYt9aOBqPr"
192,jawapos,2023-05-27 05:30:28+00:00,Pemerintah Segera Realisasi Konsep Marketplace Guru yang Digagas Nadiem https://t.co/g8UPfDHHUo
193,jawapos,2023-05-27 04:31:21+00:00,Nadiem Makarim Tawarkan Konsep Rekrutmen Guru lewat Marketplace https://t.co/a6E0IyXcou
194,posaktualcom,2023-05-27 04:23:15+00:00,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan https://t.co/9nk7us2DbZ"
195,geloraco,2023-05-27 02:48:27+00:00,"Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan
https://t.co/A3eNr5SuTA"
196,agungtrainer,2023-05-26 22:16:07+00:00,"Nah, Nadiem ini akan membuat sebuah marketplace dimana Pemda, sekolah bisa mencari guru sesuai dg kebutuhan."
197,Mas_Widya,2023-05-26 21:11:18+00:00,"Masih ingat shadow super team-nya Nadiem? Kerjaannya ya gini, bikin apps receh yg nilai proyeknya fantastis. Cek aja nanti berapa nilai pengerjaan marketplace Guru."
198,DIRUMAHSAJA14,2023-05-26 16:38:41+00:00,@Kemdikbud_RI @nadiemmakarim Mas nadiem mau tanya kebijakan yang baru TENTANG marketplace guru terus gaji yang disalurkan ke sekolah apa gak rawan KKN..
199,pikiran_rakyat,2023-05-26 14:04:34+00:00,"Penamaan Marketplace Guru Dikritik Anggota DPR, Nadiem Makarim: Kita Mengacu pada Database Talenta Guru: Mendikbudristek Nadiem Makarim bantah gagasan tiga pilar yang disampaikannya merupakan rencana baru. https://t.co/huKJeaIzfm"
200,pikiran_rakyat,2023-05-26 13:37:04+00:00,"Nadiem Makarim ‘Lahirkan’ Marketplace Guru untuk Kurangi Guru Honorer, Anggota DPR: Jangan Ada Akrobat Lagi: Anggota DPR RI meminta Mendikbudristek Nadiem Makarim untuk tidak membuat gagasan baru di penghujung masa jabatannya. https://t.co/bfAy1JVjgm"
201,Arifineyusuf,2023-05-26 07:39:06+00:00,"Dulu yang diharapkan memberi angin perubahan, kini malah arahnya makin gak jelas. Fokuslah ke kesejahteraan tenaga pendidik dan pemerataan fasilitas pendidikan dulu.

Nadiem Gagas Marketplace, Guru Merasa Seperti Barang Dagangan | Republika ID https://t.co/LGFr4qgM22"
202,aadiluc,2023-05-26 06:14:36+00:00,"no i mean--kalo dia bilang ""MARKETPLACE"" ""SEMUA GURU MASUK KE RUANG"" ""SEKOLAH BISA REKRUT KAPAN AJA"" itu berarti bukan closed recruitment system kyk misal bumn atau pns kan dia NGEDAFTAR. ini DIMARKET sakit jiwa lu nadiem"
203,jawapos,2023-05-25 09:29:52+00:00,Mendikbudristek Nadiem Makarim Bakal Lakukan Rekrutmen Guru lewat Marketplace https://t.co/v0tMeNb1zD
204,sabrinalestarii,2023-05-25 09:19:07+00:00,"Mendikbudristek Nadiem Makarim menyiapkan 3 solusi untuk mempercepat perekrutan 1 juta PPPK guru yaitu marketplace guru, perekrutan oleh sekolah dan penempafan pada formasi kurang pemina https://t.co/0KQI4lhcPF"
205,jawapos,2023-05-25 08:20:48+00:00,Mendikbudristek Nadiem Makarim Luncurkan Marketplace Guru: Solusi Terkini Menghadapi Krisis Guru https://t.co/t1okUQggtY
206,jawapos,2023-05-25 08:06:00+00:00,"Mendikbudristek Nadiem Makarim Bakal Lakukan Rekrutmen Guru lewat Marketplace

https://t.co/XEiJ7Q0p0q"
207,cnbcindonesia,2023-05-25 03:21:28+00:00,"Jelang perekrutan 1 juta guru PPPK, Mendikbud Ristek Nadiem Makarim sudah menyiapkan strategi. Salah satunya dengan menciptakan marketplace guru. Teknisnya gimana ya?
https://t.co/QPwKWdobmv"
208,gratis_cabe,2023-05-25 00:28:11+00:00,Nadiem Siapkan Marketplace Khusus Guru @jurnalguruid https://t.co/VVjiz8Pn20 #Guru @giazzOuell @masmerdi @mas_luc @OZANMEMBLE @SandraRatnasari @triantorahardjo @Vinzdevil @yustinaw @y_husada @FeryantoHadi @gurupenggerak @gtk_kemdikbud @gtk_madrasah @gtkdikmendiksus @DiktiVokasi
209,gratis_cabe,2023-05-25 00:24:00+00:00,Nadiem Siapkan Marketplace Khusus Guru @jurnalguruid https://t.co/VVjiz8Pn20 #Guru @dewiambaratna @ladang17 @budimalau @ahbuch @akgni @herrybarus @roso_daras @aquarini @nirwarkot @pradanikribow @syafrilelain1 @nadiemmakarim @Kemdikbud_RI @gurupenggerak05 @humasdisdikkab1 https://t.co/Xd7abKHaEw
210,cnbcindonesia,2023-05-24 13:00:51+00:00,Wah! Nadiem Bakal Ciptakan Marketplace Khusus Guru https://t.co/CAbCl4bjvT
211,kompasiana,2023-06-27 07:38:33+00:00,Dampak Marketplace Guru Terhadap Freshgraduate https://t.co/X5wLbfUoUX
212,taromilkshake25,2023-06-27 06:48:20+00:00,"@worksfess Untuk kakaknya saran coba kerja tambahan kayak ngelesin diluar sekolah, sama jadi tutor online kayak ruang guru, dkk, bentar lagi juga ada marketplace. Soalnya sekarang guru"" pada beralih ke sana kak. Semangat ya kak semoga rezekinya dan pahala jariyahnya lancar terus Aamiin."
213,FilippGabelaya,2023-06-26 16:36:39+00:00,Mint Boho on Tocen NFT Marketplace https://t.co/LfwGzEDxYY
214,bemhiu,2023-06-26 13:03:40+00:00,"Cukup dengan langkah kecil yaitu membaca dan menulis.   Maka dari itu, kami dari BEM HIU 2023. Memberikan wadah sebesar-besarnya untuk mahasiswa memberikan opininya mengenai suatu isu dengan tema ""Kebijakan PPPK dan Marketplace Guru, Nasib Guru Mau dibawa Kemana?"""
215,anusekaliya,2023-06-26 12:28:45+00:00,"@tempodotco Jangan ngomong pendidikan kelas dunia dulu, jika guru dibikin rendah profesinya dg model marketplace.

Marketplace mendegradasikan slogan ""guru pahlawan tanpa tanda jasa""."
216,MoneyMasterGuru,2023-06-26 06:19:50+00:00,@ElonMuskAOC Will get one on Facebook marketplace.
217,BascoBoating,2023-06-26 05:01:54+00:00,"New Listing! 2009 Jeanneau Sun Odyssey 42 DS for Sale
🏷Price $100,000USD  | 📍Located in Sutera Harbour Marina, Kota Kinabalu, Malaysia 
📞 Message us on WhatsApp at +65 9155 4060 or visit the listing at Boat Guru Marketplace for more information&gt;&gt; https://t.co/FYrAtec07y https://t.co/sqN8XESoJT"
218,ai_amateras_ai,2023-06-26 02:45:19+00:00,"@mainnet_pat @BCH_Guru Hi, at BCH I want to launch my collection, how can I do that?
I am interested in your marketplace."
219,kumparan,2023-06-25 11:34:33+00:00,"Apakah hadirnya Marketplace Guru dapat jadi solusi berkelanjutan untuk menyelesaikan masalah kebijakan guru secara komprehensif? Atau justru jalan cepat, namun meninggalkan banyak masalah? #userstory https://t.co/07jYJ0nahb"
220,dzikrun__,2023-06-25 09:22:13+00:00,"ternyata penggunaan marketplace untuk guru sudah dimulai oleh ibu ini, keren sekali hanya dengan Rp. 123 kalian bisa dapet guru 🙏 https://t.co/g3Pgx3up95"
221,guru_guru76956,2023-06-24 18:06:04+00:00,MetaNFT - A rich and dynamic NFT marketplace. https://t.co/oHlIM8k3iq #MetatimeCoin #Crypto
222,KucingMletus,2023-06-24 16:25:17+00:00,"Bikin marketplace untuk guru, misalnya?"
223,NurcahyadiNurc1,2023-06-24 11:09:58+00:00,"@motodobel @AhmadRoyhan33 @prastow Mana ada gaji PPPK ditransfer ke daerah, kalau itu yang terjadi pasti daerah sudah gak ragu lagi mengajukan formasi PPPK sehingga Nadiem gak perlu melontarkan ide marketplace guru."
224,SuraiyasAlo,2023-06-24 09:27:38+00:00,"Here are the top five freelancer marketplaces:

1. @Upwork 
2. @fiverr 
3. @Freelancer
4. @Guru
5. @toptal 

If you need any help just drop me a message❤️
https://t.co/gScwb5Yu3g https://t.co/Nm43YKFSpR"
225,jannah_nusyii,2023-06-24 06:16:04+00:00,"Marketplace Guru, Mampukah Menyolusi Kebutuhan Tenaga Pendidik?
https://t.co/Si7UN399Bb"
226,CNNIndonesia,2023-06-24 00:02:34+00:00,"Menpan-RB Dukung Nadiem Rekrut Guru Lewat Marketplace
https://t.co/8vxLs5F72u"
227,Swotman23,2023-06-23 21:57:20+00:00,".... marketplace.... They are closing in on 10k followers as well

7. @HelloTatami this is a leading gaming hub service on #SeiNetwork which connects gamers, builders and collectors together in on place

8. @SID_sei_name this naming service is associated with @SpaceIDProtocol ..."
228,GuruGosling,2023-06-23 07:56:14+00:00,"@Goosey30111568 I disagree.

One can accurately characterise the motivations behind voting in FPTP as “which of these two despicable dicks do I despise most” and vote for the party led by the other dick.

Johnson won nothing, Corbyn lost.

For a marketplace-of-ideas we need Electoral Reform."
229,demaiainpng,2023-06-23 06:36:14+00:00,"Lalu, bagaimana menurutmu Marketplace Guru ini ? Apakah akan menjadi jurus jitu dalam menyelesaikan permasalahan di dunia pendidikan terutama masalh pada guru honorer ? Atau justru sebaliknya ?"
230,demaiainpng,2023-06-23 06:35:50+00:00,Marketplace Guru ini sebagai platform yang diunakan sebagai sistem perekrutan guru. Rencananya akan di implementasikan pada tahun 2024. Konsep ini memicu pro dan kontra di berbagai kalangan terutama para mahasiswa pendidikan dan tenaga pendidik.
231,demaiainpng,2023-06-23 06:32:52+00:00,"MARKETPLACE GURU ALA NADIEM MAKARIM : MENGUNTUNGKAN ATAU JUSTRU MERUGIKAN ?

Kementrian Pendidikan, Kebudayaan, Riset, dan Teknologi (Dirjen Pelestarian Budaya dan Pengembangan Teknologi) Belum lama ini, Mendikbudristek RI Bapak Nadiem Makarim sedang membuat (Marketplace Guru) https://t.co/WeqGk2fzEw"
232,bengkelhikmah,2023-06-23 05:58:33+00:00,"PGRI: Marketplace Guru Adalah Ide Brilian, Namun Tidak Untuk Sekolah Negeri https://t.co/kg1OoungHm https://t.co/QV3qhjxEqE"
233,kanakaprivate,2023-06-23 05:58:33+00:00,"PGRI: Marketplace Guru Adalah Ide Brilian, Namun Tidak Untuk Sekolah Negeri: Gagasan Mendikbudristek Nadiem Makariem yang akan membuat layanan marketplace atau toko online untuk merekrut guru banyak mendapat sorotan. Persatuan Guru Republik Indonesia… https://t.co/pnEsZpXFV1 https://t.co/ptVoQPyFU0"
234,sekolahdasar,2023-06-23 05:58:23+00:00,"PGRI: Marketplace Guru Adalah Ide Brilian, Namun Tidak Untuk Sekolah Negeri https://t.co/oBVQSMJ40g"
235,tinaberkata,2023-06-23 03:58:09+00:00,"Kalau menurutku sih, jangan terjebak pada kata marketplace itu sendiri. Justru ini ruang bagi sekolah / murid mendapatkan guru honorer vice versa.
Guru honorer juga bisa mendapat kesempatan mengajar murid jarak jauh sehingga ada pemasukan tambahan yg ia dapat.

Cont'd"
236,tinaberkata,2023-06-23 03:58:08+00:00,"Bedanya, ada yang 'beruntung' masuk dalam sistem kepegawaian paten~&gt; PNS, ada yang masih honorer dengan segudang beban.
'Marketplace' ini justru bisa jadi sarana mengembalikan 'tanggung jawab' guru PNS sebagai tenaga pokok dan honorer sebagai pelengkap. 

Cont'd"
237,calonpppk,2023-06-22 13:16:32+00:00,Guru Bahan Percobaan Marketplace https://t.co/CVM7eFwynC
238,CemKaanGuru,2023-06-22 13:15:05+00:00,Targeting Criminals on the Darknet: U.S. Federal Agencies Collaborate in New Task Force: Multiple U.S. federal agencies form Darknet Marketplace and Digital Currency Crimes Task Force to crack down on darknet criminals and cryptocurrency crimes. TL;DR… https://t.co/cLfI2zMt8h https://t.co/R77jHjXjC1
239,umbiesnotmelon,2023-06-22 13:00:11+00:00,@Guru_PNS No 3 ada yg jual asc timetable di marketplace
240,BascoBoating,2023-06-22 10:00:10+00:00,"🌊 For Sale: 2012 Bayliner 335 SB, immaculate condition, upgraded equipment, and low engine hours.
📍Located in Singapore | 🏷Price $230,000SGD
📞 Message us on WhatsApp at +65 9155 4060 or visit the listing at Boat Guru Marketplace for more information&gt;&gt; https://t.co/YHH891OGZp https://t.co/daErnWTXO7"
241,hariankompas,2023-06-22 10:00:03+00:00,"Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi akan mengganti istilah marketplace yang dianggap terlalu komersial, padahal substansinya tidak jauh berbeda. 

Guru, Komoditas, dan ”Marketplace”
#Opini 22 Juni 2023

https://t.co/EfyhQUdyAh https://t.co/WmALNUe7vc"
242,BebeChez_eth,2023-06-22 02:24:30+00:00,"Dropped a lot updates, especially in the first 30-40 mins.
-Meditation for Artifacts
- @DigiMonkz Marketplace &amp; Mastermind
- Ordinal DigiMinions
- Partnerships
- #Metaverses for Digital Guru &amp; Ashram
- @Yogapetz updates
- Challenge with cool prizes
- More

https://t.co/RqfDoQusk2"
243,ICT_GURU,2023-06-22 02:05:01+00:00,"Love the circular economy! 🙃

Chairs Bought Off Facebook Marketplace Were Probably Stolen From McDonalds: 'I Always Wondered Where They Were From' https://t.co/RCpsURXLdC https://t.co/jAJ8LsEKdm"
244,wataxhipa,2023-06-22 01:36:16+00:00,"gaji seh semene ko ngne kok arep digawe marketplace, mbok kiro guru flash sale shopee po pak men?"
245,hanyaaku_diriku,2023-06-22 01:02:26+00:00,"@AR_Nopan_R @tanyarlfes @nadiemmakarim Jangan dilike woy, w mau jadi guru nanti malah masuk marketplace dikasih bintang 1 eh."
246,tatisamhadi,2023-06-21 22:11:44+00:00,"Marketplace adalah representasi mekanisme pasar yang dioperasionalkan dengan logika kapitalisme. Jika ide marketplace diterapkan, guru sudah masuk dalam pusaran kapitalisme pendidikan yang licik.
Simak Rakhmat Hidayat di Opini Kompas
https://t.co/NDKeUYrjxv
@hariankompas"
247,KompasData,2023-06-21 22:05:51+00:00,"Marketplace adalah representasi mekanisme pasar yang dioperasionalkan dengan logika kapitalisme. Jika ide marketplace diterapkan, guru tentu saja sudah masuk dalam pusaran kapitalisme pendidikan yang licik. #ArtikelOpini #AdadiKompas #Kompas58

https://t.co/Yqy7Hh3g1P"
248,hariankompas,2023-06-21 22:02:20+00:00,"Marketplace adalah representasi mekanisme pasar yang dioperasionalkan dengan logika kapitalisme. Jika ide marketplace diterapkan, guru tentu saja sudah masuk dalam pusaran kapitalisme pendidikan yang licik. #Opini #AdadiKompas #Kompas58

https://t.co/QdAAzUSivA"
249,baekyungi329,2023-06-21 11:36:15+00:00,"@helendebut Kalau udh ambil ppg prajab ini dan dapat gelar, km lbh mudah dpt kerja
Apalagi skrg pake marketplace buat guru 🙃"
250,masekohrn,2023-06-21 10:25:58+00:00,"Syahnaz jd tt gak penting woyyyyyy,bih guru mau dibuat dagangan sama nadim masa mau dibikin marketplace guru,dim dim mending lu urusin @gojekindonesia"
251,rasarabu,2023-06-21 09:26:14+00:00,"@dinikopi13 Ini orangnya aja dari awal tahun gak bercaya direk sales. Dan kayaknya salah guru. Mungkin emang dia mau bikin marketplace atau ojol, mungkin yang dianggap kompetitor dia itu macem optik manding, optik malawai atau optikk seis. Jadi buang2 waktu bandingin ama yg fokusnya ke sales https://t.co/uABsS23Hj0"
252,_dorararawr,2023-06-21 05:45:13+00:00,Kaboorrr ada marketplace khusus guru
253,TheDraftGuruGuy,2023-06-21 04:38:46+00:00,You weren’t paid to go on tv and promote yourself … wow how shocking! You can’t put yourself and opinions out there in the marketplace of ideas and then balk at someone who wants to challenge that. You crossed the scientist/politician line
254,bottomsUpzz,2023-06-21 01:06:52+00:00,Lookin back at myself before the pandemic…I was a guru for an ecommerce firm in Canada. I was Fat and miserable until Wuhan China recorded the first COVID infection from a wet marketplace where animals were imprisoned ☹️. It was during our darkest moments. We lost our freedom!
255,lain_saha,2023-06-20 14:25:44+00:00,Guru di marketplace tuh sistemnya kaya dokter di halodoc gitu ya?
256,airhuwjan,2023-06-20 14:25:32+00:00,"@collegemenfess Susah nder, aplg ktnya skrg sistemnya mau di ubah kan ke ky marketplace itu. Padahal guru yg mendidik, kerja serius, gaji bercandabgt"
257,GuruMac26,2023-06-20 13:55:03+00:00,"@OccupyDemocrats Dem here and no fan of Trump. He is dangerous. But suppressing free speech, even if lies, is more dangerous. The marketplace of ideas is the judge. Don’t be afraid of lies. Expose them. Engage. That’s how democracy works. Don’t let censorship win. That’s how majorities lose."
258,BidikUtama,2023-06-20 13:37:19+00:00,"https://t.co/JHyTZdT51o – Berbicara soal pendidikan nasional tak terlepas dari tenaga pendidik yang profesional yaitu guru. Baru-baru ini telah menjadi perbincangan hangat di bidang pendidikan Indonesia tentang wacana Marketplace Guru di...

Selengkapnya : https://t.co/NI7FLwtNFR https://t.co/q3xZ7KMXHN"
259,AlphaARachman,2023-06-20 11:41:35+00:00,"https://t.co/LFGzU34tDn

1. 🧵

Ketika Guru Di-""Check Out"" dari Marketplace

Perekrutan guru PPPK belum tuntas. Berbagai terobosan ditawarkan, tetapi belum menyentuh akar persoalan. Ide ”marketplace” guru dari pemerintah tidak menyelesaikan masalah.

ESTER LINCE NAPITUPULU
Kompas, 20 Juni 2023 

Meme soal marketplace guru berseliweran di akun media sosial, seperti TikTok. Lalu, istilah check out seperti yang lazim dilakukan pembeli ketika membeli barang di lokapasar sebagai ajakan agar guru dipilih atau ”dibeli” sekolah.

Isi meme soal marketplace guru beragam. Ada yang menuliskan, ”calon guru berkualitas”, ”flash sale”, ”gratis ongkir”, ”dijamin cashback”. Ada juga yang menyajikan video yang isinya soal ”COD, bayar langsung di tempat, check out sebelum kehabisan guru-guru”; ”dijual cepat”, ”beban hidup dan keluarga free ongkir”; hingga ”yuk buruan di check out”.

Perekrutan guru melalui mekanisme marketplace guru mengemuka dalam paparan Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi Nadiem Anwar Makarim akhir Mei lalu. Nadiem menyampaikan ini sebagai solusi jangka panjang penuntasan guru honorer lewat pengangkatan guru Pegawai Pemerintah dengan Perjanjian Kerja (PPPK).

Marketplace guru tersebut semacam platform berisi basis data calon guru yang sudah pernah mengikuti seleksi ASN PPPK ataupun lulusan pendidikan profesi guru (PPG) prajabatan yang dinilai layak menjadi guru PPPK.

Dengan demikian, sekolah dapat merekrut guru sesuai formasi yang disediakan pemerintah pusat dengan mengacu pada Data Pokok Pendidikan (Dapodik) tanpa bergantung pada perekrutan guru ASN secara nasional. Pelaksanaan perekrutan guru PPPK dengan sistem marketplace ini dilakukan mulai 2024. Saat ini, proses tersebut masih menunggu Rancangan Peraturan Pemerintah tentang Manajemen ASN Guru yang ditargetkan selesai Oktober nanti.

Kepala Bidang Advokasi Perhimpunan Pendidikan dan Guru (P2G) Iman Zanatul Haeri dalam webinar Ngobrol Pintar Seputar Kebijakan Edukasi bertajuk Marketplace Guru: Ide Brilian atau Disorientasi Kebijakan? pada Minggu (18/6/2023), mengatakan, banyak pihak keberatan terhadap konsep marketplace perekrutan guru. Bukan semata keberatan soal istilah marketplace yang mengandaikan guru seperti barang yang diperjualbelikan di lokapasar. Akan tetapi, lebih pada rencana ini dinilai tetap tidak menyelesaikan persoalan perekrutan guru PPPK. 

”Solusi mengatasi guru itu tidak sesederhana membuat marketplace guru, lalu gajinya disalurkan dengan dana bantuan operasional sekolah (BOS) khusus untuk gaji guru. Jangan hanya demi kejar tayang tahun politik 2024 muncul solusi seperti ini,” kata Iman.

Iman mengatakan, para guru honorer, terutama yang lulus passing grade atau Prioritas 1, terus terkatung-katung. Seharusnya, persoalan menyangkut nasib mereka diselesaikan secara serius oleh pemerintah pusat dan pemerintah daerah dengan duduk bersama. ”Jangan kegagalan panitia seleksi nasional, termasuk Kemendikbudristek, dalam menyelenggarakan perekrutan PPPK dilimpahkan ke sekolah,” katanya.

Perekrutan guru oleh sekolah lewat lokapasar, bukan tidak mungkin membuka peluang korupsi, kolusi, dan nepotisme (KKN). Pemilihan guru atau ""chek out"" oleh sekolah bisa terjadi karena adanya faktor kekerabatan atau kedekatan. Korupsi BOS gaji guru juga bisa terjadi seperti korupsi BOS.

Akibat gimik

Sementara itu, Wakil Ketua Majelis Pendidikan Dasar dan Menengah Pendidikan Nonformal Pengurus Pusat Muhammadiyah Alpha Amirrachman mengatakan, jangan setiap masalah diselesaikan dengan membuat aplikasi. Hal ini sudah disorot Presiden Jokowi yang tanggap dan memberikan arahan agar kementerian tidak terus membuat aplikasi baru, apalagi tidak terintegasi. Setidaknya, saat ini ada sekitar 27.000 aplikasi di lembaga pemerintahan.

”Marketplace guru adalah solusi yang didasari kebuntuan dalam menyelesaikan masalah guru PPPK. Hal ini karena ada gimik rekrutment satu juta guru yang disampaikan Mendikbudristek yang belum bersepakat dengan pemerintah daerah,” kata Alpha.
⤵️"
260,TMIHARINI,2023-06-20 09:37:04+00:00,"Meski demikian, Sabda yakin apabila marketplace guru direalisasikan, sekolah harus dituntut punya standar yang bagus dalam mendidik anak murid

Mengapa?

Karena sekolah sendiri yang terjun langsung memilih dan merekrut guru

Standar sekolah dalam mencari calon guru juga diuji https://t.co/q378NMs91B"
261,TMIHARINI,2023-06-20 09:35:27+00:00,"Selain kontra, ada pula yang pro implementasi marketplace guru, tentu dengan beberapa catatan

Pendiri Zenius, Sabda PS menilai konsep marketplace bisa memberikan otonomi untuk sekolah

""Sekolah bisa lebih mudah merekrut guru sesuai kompetensi dan kebutuhan"" https://t.co/Vs6HqFmQFK"
262,TMIHARINI,2023-06-20 09:33:34+00:00,"Ketua Forum Guru Bersertifikasi Sekolah Negeri (FGBSN) turut kontra soal marketplace lantaran rawan kolusi dan nepotisme

Saat ia menyoroti mekanisme marketplace guru, sekolah bisa merekrut siapa saja, termasuk saudara, karena kewenangan ada di tangan mereka, bukan pemerintah https://t.co/DQeuHfXS2o"
263,TMIHARINI,2023-06-20 09:31:33+00:00,"Indra juga berujar bahwa banyak guru tidak mau ditempatkan di daerah terpencil karena sulit akses internet maupun transportasi

Dengan problema seperti itu, ia yakin marketplace guru belum sepenuhnya menjawab masalah penempatan guru yang kurang merata https://t.co/XT99bzojad"
264,TMIHARINI,2023-06-20 09:29:59+00:00,"Pengamat pendidikan Indra Charismiadji pun menyebut marketplace guru bukan solusi tepat saat ini karena akses internet belum merata

Ia berpendapat, pemerintah perlu melakukan terobosan menarik agar guru mau ditempatkan di daerah terpencil &amp; ASN bersedia ditempatkan dimana saja https://t.co/e0ElAIhpYg"
265,TMIHARINI,2023-06-20 09:26:51+00:00,"Walaupun marketplace guru direncanakan untuk mengatasi distribusi guru yg kurang merata, nyatanya sekolah yang kurang guru justru banyak yg sulit dijangkau internet

Menurut Prof Suyanto (UNY), marketplace guru bisa efektif jika internet bisa menjangkau seluruh wilayah Indonesia https://t.co/GZjZpdX5xz"
266,TMIHARINI,2023-06-20 09:21:33+00:00,"Sebelumnya, wacana 'marketplace guru' diusung karena isu distribusi guru yang tidak merata

SDN 43 Halmahera Barat misalnya

Kepsek Sumiyati mengungkap,

""Guru PNS hanya 3 orang, 3 kelas guru honorer itu termasuk penjaga sekolah.

Kami sangat kekurangan guru, apalagi guru kelas"" https://t.co/TxFm0I75Dh"
267,TMIHARINI,2023-06-20 09:09:27+00:00,"Sudah dengar wacana marketplace guru?

Mendikbudristek Nadiem Makarim mengusung rencana pembuatan 'marketplace guru' atau database berisi talent pool guru

Sekolah dapat mengakses 'marketplace guru' dan merekrut guru sesuai kebutuhan

Akan tetapi, wacana ini menuai pro kontra https://t.co/czsHuMwDGH"
268,prajnamu,2023-06-20 03:36:15+00:00,"Bukan semata keberatan soal istilah marketplace yang mengandaikan guru seperti barang yang diperjualbelikan di lokapasar, tetapi pada rencana ini tidak menyelesaikan persoalan perekrutan guru PPPK

https://t.co/jNfq0uCJvc"
269,Via_AbdullahR2,2023-06-20 02:39:21+00:00,"@MelodiAsyik Siapa yg komersilkan??
Bukankah sistem yg merancang setiap hal harus dijual dan dibeli??
Guru aja bisa d beli d marketplace"
270,tigabelase,2023-06-20 00:36:34+00:00,Soal marketplace guru: https://t.co/4LXVnLtm0I
271,kompasmuda,2023-06-19 23:46:51+00:00,"Perekrutan guru PPPK belum tuntas. Berbagai terobosan ditawarkan, tetapi belum menyentuh akar persoalan. Ide ”marketplace” guru dari pemerintah tidak menyelesaikan masalah. #Dikbud #AdadiKompas #Kompas58

https://t.co/7NLhSWQSmX"
272,hariankompas,2023-06-19 23:35:07+00:00,"Perekrutan guru PPPK belum tuntas. Berbagai terobosan ditawarkan, tetapi belum menyentuh akar persoalan. Ide ”marketplace” guru dari pemerintah tidak menyelesaikan masalah. #Dikbud #AdadiKompas #Kompas58

https://t.co/jNBFiiXea5"
273,AlphaARachman,2023-06-19 21:19:31+00:00,"https://t.co/cL8a63YnbB

DPR: Marketplace Guru Tak Selesaikan Akar Masalah Tenaga Pendidik Indonesia

KETUA  Komisi X DPR RI Syaiful Huda @SyaifulHooda menilai gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru tidak menyelesaikan akar permasalahan tenaga pendidikan di Indonesia.

Menurutnya, marketplace guru dinilai hanya menjawab isu distribusi guru saja."
274,beritajatimcom,2023-06-19 17:00:04+00:00,"Marketplace Guru, Akankah Menjadi Solusi untuk Penuhi Kebutuhan Tenaga Pendidik?.

Mendikbudristek Nadiem Anwar Makarim sedang menyiapkan konsep baru dalam dunia pendidikan. Ide tersebut… #PendidikanKesehatan #guru #KemendikbudRistek via @beritajatimcom https://t.co/JWH3v7rFox"
275,Zelena_11,2023-06-19 15:50:47+00:00,"@GainsAssociates @GPTGuru_ GPT Guru enables the creation of NFT marketplaces. What impact do you foresee NFTs having on the future of digital ownership, and how does GPT Guru support creators in navigating this emerging landscape?"
276,MdTanbi35716872,2023-06-19 10:33:47+00:00,"@GainsAssociates @GPTGuru_ How does GPT Guru enable users to create strong and user-friendly NFT marketplaces, and what sets Guru's offerings apart from other similar marketplaces in terms of unique features and functionalities?"
277,Keylo190,2023-06-19 10:29:16+00:00,"@GainsAssociates @GPTGuru_ GPT Guru supports the establishment of NFT marketplaces. How do you think NFTs will transform the concept of digital ownership in the future, and how does GPT Guru assist creators in adapting to this new environment?"
278,Beritasatu,2023-06-19 09:10:42+00:00,"Marketplace Guru di Tengah Kesenjangan Internet, Teknologi, dan SDM https://t.co/2WldYMiXLg"
279,Beritasatu,2023-06-19 08:23:07+00:00,Mengurai Ide Marketplace Guru https://t.co/USZUz4CkU3
280,eddy_soeparno,2023-06-19 07:26:59+00:00,"MARKETPLACE GURU?

Permasalahan Guru tidak bisa selesai hanya dengan mekanisme pasar supply and demand. Lebih baik Mendikbud fokus meningkatkan kesejahteraan guru dan pemerataan kualitas. Mendikbud juga seharusnya mencari solusi bagi 
Guru Honorer yang digaji sangat rendah https://t.co/BG2adFDFDB"
281,soedjarwo75,2023-06-19 06:16:02+00:00,Nah Loh! Ketua PGRI Nilai Marketplace Guru Sulit Diterapkan di Sekolah Negeri. Ternyata Ini Alasannya! https://t.co/tfnttctLyn
